epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-07-03,461,RJ,Angra dos Reis,3300100,city,13875,6701.47408,0,481,0,0.0347,207044,False,True
202126,2021-07-03,437,RJ,Aperibé,3300159,city,576,4839.92942,0,27,0,0.0469,11901,False,True
202126,2021-07-03,457,RJ,Araruama,3300209,city,6085,4531.13714,0,414,0,0.068,134293,False,True
202126,2021-07-03,445,RJ,Areal,3300225,city,1295,10221.80125,0,46,0,0.0355,12669,False,True
202126,2021-07-03,446,RJ,Armação dos Búzios,3300233,city,4508,13075.38359,0,57,0,0.0126,34477,False,True
202126,2021-07-03,459,RJ,Arraial do Cabo,3300258,city,719,2350.21083,0,38,0,0.0529,30593,False,True
202126,2021-07-03,457,RJ,Barra do Piraí,3300308,city,6143,6096.42333,0,353,0,0.0575,100764,False,True
202126,2021-07-03,486,RJ,Barra Mansa,3300407,city,15424,8344.8302,0,582,0,0.0377,184833,False,True
202126,2021-07-03,465,RJ,Belford Roxo,3300456,city,20543,4003.56253,0,704,0,0.0343,513118,False,True
202126,2021-07-03,453,RJ,Bom Jardim,3300506,city,1655,5992.90267,0,44,0,0.0266,27616,False,True
202126,2021-07-03,450,RJ,Bom Jesus do Itabapoana,3300605,city,3358,9026.1538,0,85,0,0.0253,37203,False,True
202126,2021-07-03,453,RJ,Cabo Frio,3300704,city,13101,5686.74092,0,691,0,0.0527,230378,False,True
202126,2021-07-03,450,RJ,Cachoeiras de Macacu,3300803,city,2908,4903.63051,0,93,0,0.032,59303,False,True
202126,2021-07-03,416,RJ,Cambuci,3300902,city,958,6175.06768,0,33,0,0.0344,15514,False,True
202126,2021-07-03,467,RJ,Campos dos Goytacazes,3301009,city,26892,5260.8927,0,1474,0,0.0548,511168,False,True
202126,2021-07-03,451,RJ,Cantagalo,3301108,city,2959,14671.75724,0,23,0,0.0078,20168,False,True
202126,2021-07-03,445,RJ,Carapebus,3300936,city,1539,9278.90992,0,13,0,0.0084,16586,False,True
202126,2021-07-03,422,RJ,Cardoso Moreira,3301157,city,1192,9297.2467,0,14,0,0.0117,12821,False,True
202126,2021-07-03,428,RJ,Carmo,3301207,city,2155,11324.22491,0,39,0,0.0181,19030,False,True
202126,2021-07-03,453,RJ,Casimiro de Abreu,3301306,city,4163,9242.68999,0,123,0,0.0295,45041,False,True
202126,2021-07-03,412,RJ,Comendador Levy Gasparian,3300951,city,747,8710.35448,0,31,0,0.0415,8576,False,True
202126,2021-07-03,438,RJ,Conceição de Macabu,3301405,city,2026,8658.85973,0,75,0,0.037,23398,False,True
